label,uri,types,vocabulary,domain,range,superproperty
heeft contactpunt,http://www.cidoc-crm.org/cidoc-crm/P76_has_contact_point,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft credential,http://data.europa.eu/snb/model/elm/hasCredential,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft criterium,http://data.europa.eu/m8g/hasCriterion,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft deel,http://data.europa.eu/snb/model/elm/hasPart,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft deel,http://purl.org/dc/terms/hasPart,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft deelnemer,http://www.w3.org/ns/prov#qualifiedAssociation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft dimensie,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft doelwit,http://www.w3.org/ns/oa#hasTarget,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft eenheid,http://www.w3.org/ns/org#hasUnit,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft eigenschap,https://data.vlaanderen.be/ns/melding#heeftEigenschap,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/melding,https://data.vlaanderen.be/ns/melding#Meldingsobject,https://data.vlaanderen.be/ns/melding#MeldingsobjectAttribuut,http://rdfs.org/ns/void#property
heeft faciliteit,http://schema.org/amenityFeature,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft formeel kader,http://data.europa.eu/m8g/hasFormalFramework,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft geboorte,https://data.vlaanderen.be/ns/persoon#heeftGeboorte,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,http://www.w3.org/ns/person#Person,https://data.vlaanderen.be/ns/persoon#Geboorte,http://purl.org/vocab/bio/0.1/birth
heeft gecreëerd,http://www.cidoc-crm.org/cidoc-crm/P94_has_created,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft gegenereerd,http://www.w3.org/ns/prov#generated,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft gemeentenaam,https://data.vlaanderen.be/ns/adres#heeftGemeentenaam,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/adres,https://data.vlaanderen.be/ns/adres#Adres,https://data.vlaanderen.be/ns/adres#Gemeentenaam,
heeft geproduceerd,http://www.cidoc-crm.org/cidoc-crm/P108_has_produced,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft geregistreerde organisatie,http://www.w3.org/ns/regorg#hasRegisteredOrganization,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft geregistreerde vestiging,http://www.w3.org/ns/org#hasRegisteredSite,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft gerelateerd verkeersteken,https://data.vlaanderen.be/ns/mobiliteit#heeftGerelateerdVerkeersteken,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken,https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken,http://www.w3.org/2004/02/skos/core#related
heeft gevolg,https://data.vlaanderen.be/ns/mobiliteit#Inname.heeftGevolg,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Inname,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshinder,http://purl.org/NET/c4dm/event.owl#factor_of
heeft gevolg,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshinder.heeftGevolg,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshinder,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshindergevolg,
heeft gevolg,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitsmaatregel.heeftGevolg,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitsmaatregel,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshinder,http://purl.org/NET/c4dm/event.owl#factor_of
heeft huidig beheerder,http://www.cidoc-crm.org/cidoc-crm/P50_has_current_keeper,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft huidig eigenaar,http://www.cidoc-crm.org/cidoc-crm/P52_has_current_owner,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft huidige locatie,http://www.cidoc-crm.org/cidoc-crm/P55_has_current_location,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft huidige of vroegere residentie,http://www.cidoc-crm.org/cidoc-crm/P74_has_current_or_former_residence,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft huidige permanente locatie,http://www.cidoc-crm.org/cidoc-crm/P54_has_current_permanent_location,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft input,http://purl.org/vocab/cpsv#hasInput,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft inwonerschap,https://data.vlaanderen.be/ns/persoon#heeftInwonerschap,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,http://www.w3.org/ns/person#Person,https://data.vlaanderen.be/ns/persoon#Inwonerschap,
heeft kamer,https://data.vlaanderen.be/ns/logies#heeftKamer,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/logies,https://data.vlaanderen.be/ns/logies#Verhuureenheid,https://data.vlaanderen.be/ns/logies#Ruimte,http://schema.org/containsPlace
heeft kanaal,http://data.europa.eu/m8g/hasChannel,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft kandidaat,http://data.vlaanderen.be/ns/mandaat#heeftKandidaat,http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/mandaat,http://data.vlaanderen.be/ns/mandaat#Kandidatenlijst,http://www.w3.org/ns/person#Person,
heeft kost,http://data.europa.eu/m8g/hasCost,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
