request_method;uri;http_code;file;validation;error
header;https://purl.eu/ns/mobility/passenger-transport-hubs;200;HTML document, UTF-8 Unicode text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://purl.eu/ns/mobility/passenger-transport-hubs;200;UTF-8 Unicode text, with very long lines;;0
header;https://purl.eu/ns/mobility/timetables-and-planning;200;HTML document, UTF-8 Unicode text, with very long lines, with CRLF, LF line terminators;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://purl.eu/ns/mobility/timetables-and-planning;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://wegenenverkeer.data.vlaanderen.be/ns/abstracten;200;HTML document, UTF-8 Unicode text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://wegenenverkeer.data.vlaanderen.be/ns/abstracten;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement;200;HTML document, UTF-8 Unicode text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://wegenenverkeer.data.vlaanderen.be/ns/installatie;200;HTML document, UTF-8 Unicode text, with very long lines, with CRLF, LF, NEL line terminators;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://wegenenverkeer.data.vlaanderen.be/ns/installatie;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus;200;HTML document, UTF-8 Unicode text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel;200;HTML document, UTF-8 Unicode text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting;200;HTML document, UTF-8 Unicode text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
