label,uri,types,vocabulary,domain,range,superproperty
aanvaard afbetalingsplan,https://data.vlaanderen.be/ns/schuldbeheer#aanvaardAfbetalingsplan,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Aanvaarding,https://data.vlaanderen.be/ns/schuldbeheer#Afbetalingsplan,
Aanvaarding,https://data.vlaanderen.be/ns/schuldbeheer#Aanvaarding,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/schuldbeheer,,,
aanvaarding,https://data.vlaanderen.be/ns/schuldbeheer#aanvaarding,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Afbetalingsplan,https://data.vlaanderen.be/ns/schuldbeheer#Aanvaarding,
Aanvraag,https://data.vlaanderen.be/ns/omgevingsvergunning#Aanvraag,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/omgevingsvergunning,,,
aanvraag deadline,http://data.europa.eu/snb/model/elm/applicationDeadline,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanvraagdatum,http://data.vlaanderen.be/ns/besluit#Vergunning.aanvraagdatum,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanvraagmethode,https://purl.eu/ns/mobility/timetables-and-planning#requestMethod,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanvraagstatus,https://data.vlaanderen.be/ns/mobiliteit#aanvraagStatus,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Samenwerkingsaanvraag,http://www.w3.org/2004/02/skos/core#Concept,
aanvrager,http://data.vlaanderen.be/ns/besluit#Vergunning.aanvrager,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanvrager,https://data.vlaanderen.be/ns/vastgoed#aanvrager,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanvrager,https://data.vlaanderen.be/ns/omgevingsvergunning#aanvrager,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/omgevingsvergunning,https://data.vlaanderen.be/ns/omgevingsvergunning#Aanvraag,https://data.vlaanderen.be/ns/omgevingsvergunning#Rechtssubject,
aanvullend document,http://data.europa.eu/snb/model/elm/supplementaryDocument,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanwendingstermijn,https://data.vlaanderen.be/ns/omgevingsvergunning#aanwendingsermijn,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/omgevingsvergunning,https://data.vlaanderen.be/ns/omgevingsvergunning#Beroepsmogelijkheid,http://www.w3.org/2006/time#Interval,
aanzicht,https://data.vlaanderen.be/ns/mobiliteit#aanzicht,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#Verkeersbord,http://www.w3.org/2000/01/rdf-schema#Literal,
aanzuring,https://data.vlaanderen.be/ns/grondwatermeetnet#aanzuring,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aard,https://data.vlaanderen.be/ns/bo-interpretaties#aard,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aard,https://data.vlaanderen.be/ns/overlijdensaangifte#Overlijdenstoestand.aard,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aard perceel,https://data.vlaanderen.be/ns/vastgoed#aardPerceel,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aard vastgoed,https://data.vlaanderen.be/ns/vastgoed#aardVastgoed,http://www.w3.org/2000/01/rdf-schema#Property,,,,
abstract,https://data.vlaanderen.be/ns/financiele-rapportering#Concept.abstract,http://www.w3.org/2000/01/rdf-schema#Property,,,,
abstract,https://data.vlaanderen.be/ns/financiele-rapportering#Dimensieconcept.abstract,http://www.w3.org/2000/01/rdf-schema#Property,,,,
academiejaar,https://data.vlaanderen.be/ns/leercredential#academiejaar,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/leercredential,http://data.europa.eu/snb/model/elm/LearningOpportunity,http://www.w3.org/2001/XMLSchema#gYear,
according to agreements,https://data.vlaanderen.be/ns/mobiliteit#Synergie.volgensAfspraken,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Synergie,http://www.w3.org/2004/02/skos/core#Concept,
Accreditatie,http://data.europa.eu/snb/model/elm/Accreditation,http://www.w3.org/2000/01/rdf-schema#Class,,,,
accreditatie,http://data.europa.eu/snb/model/elm/accreditation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
Accreditatiestatus,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class|http://www.w3.org/2000/01/rdf-schema#Property,,,,
accreditatiestatus,http://data.europa.eu/snb/model/elm/status,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
Accreditatietype,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class|http://www.w3.org/2000/01/rdf-schema#Property,,,,
accreditatietype,http://purl.org/dc/terms/type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
accuracy,https://data.vlaanderen.be/ns/nutsvoorzieningen#nauwkeurigheid,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/nutsvoorzieningen,https://data.vlaanderen.be/ns/generiek#Opmeting,http://def.isotc211.org/iso19157/2013/DataQuality_2#DQ_PositionalAccuracy,
achternaam,http://xmlns.com/foaf/0.1/familyName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
actie,https://data.vlaanderen.be/ns/transactie#actie,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/transactie,https://data.vlaanderen.be/ns/transactie#Status,http://www.w3.org/2001/XMLSchema#string,
actie nodig,https://data.vlaanderen.be/ns/transactie#actieNodig,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/transactie,https://data.vlaanderen.be/ns/transactie#Status,http://www.w3.org/2001/XMLSchema#boolean,
actief,https://data.vlaanderen.be/ns/kindfiche#actief,http://www.w3.org/2000/01/rdf-schema#Property,,,,
actieve lijkbezorging,https://data.vlaanderen.be/ns/openbaardomein/gebied#actieveLijkbezorging,http://www.w3.org/2000/01/rdf-schema#Property,,,,
activité,http://fixme.com#activiteit,http://www.w3.org/2000/01/rdf-schema#Property,,,,
